encrypt : last tag_state = [5491511745552226216, 6950097009419274905, 12026383242447363409, 7807827491768792873, 17146746393682830601, 4896891006671283812, 16295570220796551878, 7257524080874270127, 16184095011250273281, 10841316965818311542, 5325549086780610581, 4053572319050723506, 9491742649774062277, 2307258182999571061, 7269122965434367670, 17967754501599096324, 11762562963513091381, 3972576410190328535, 17665665059528522677, 3863789729199217363, 4841466229394313978, 8900965808056882644, 7538815328039844408, 13866330838685651895, 10586749847098793437]
encrypt first : state = [18160807224081752599, 14068525938510774781, 9117528410557204390, 15965913869845482066, 3561421027440227266, 11702823143761214843, 6073637745690837483, 17915251639671257976, 964337676777629247, 5196139335214565782, 994512453438439581, 10813200594092139196, 14315446361841618145, 2137002611932138491, 2330902358976449958, 15547502575455001635, 6656687346005869937, 18287980767771565449, 498190107594772317, 15407518384207522289, 9402833991920567798, 923917703039284069, 15831662423846448668, 7066353141585338149, 5012809038613635249]
encrypt : last tag_state = [3046789350682933204, 15288705789295452779, 1635181423628793227, 10973586306453484328, 5261633615299087566, 2412112347394383111, 13859087021535316336, 14592476530606116328, 17360613150089757264, 12563298867585483869, 365551581987890839, 17700748796336069217, 7810532723852235501, 10505955054637148879, 12855033270885330246, 13312730058220794788, 4542456715256670878, 8894104473073635359, 9202208471799252646, 14113140509561630716, 6541689012897586169, 18380102993381632613, 13500644145600515813, 17888294856934812325, 8042199561007729446]
encrypt first : state = [18160807224081752599, 14068525938510774781, 9117528410557204390, 15965913869845482066, 3561421027440227266, 11702823143761214843, 6073637745690837483, 17915251639671257976, 964337676777629247, 5196139335214565782, 994512453438439581, 10813200594092139196, 14315446361841618145, 2137002611932138491, 2330902358976449958, 15547502575455001635, 6656687346005869937, 18287980767771565449, 498190107594772317, 15407518384207522289, 9402833991920567798, 923917703039284069, 15831662423846448668, 7066353141585338149, 5012809038613635249]
encrypt : last tag_state = [5491511745552226216, 6950097009419274905, 12026383242447363409, 7807827491768792873, 17146746393682830601, 4896891006671283812, 16295570220796551878, 7257524080874270127, 16184095011250273281, 10841316965818311542, 5325549086780610581, 4053572319050723506, 9491742649774062277, 2307258182999571061, 7269122965434367670, 17967754501599096324, 11762562963513091381, 3972576410190328535, 17665665059528522677, 3863789729199217363, 4841466229394313978, 8900965808056882644, 7538815328039844408, 13866330838685651895, 10586749847098793437]
encrypt first : state = [18160807224081752599, 14068525938510774781, 9117528410557204390, 15965913869845482066, 3561421027440227266, 11702823143761214843, 6073637745690837483, 17915251639671257976, 964337676777629247, 5196139335214565782, 994512453438439581, 10813200594092139196, 14315446361841618145, 2137002611932138491, 2330902358976449958, 15547502575455001635, 6656687346005869937, 18287980767771565449, 498190107594772317, 15407518384207522289, 9402833991920567798, 923917703039284069, 15831662423846448668, 7066353141585338149, 5012809038613635249]
encrypt : last tag_state = [3046789350682933204, 15288705789295452779, 1635181423628793227, 10973586306453484328, 5261633615299087566, 2412112347394383111, 13859087021535316336, 14592476530606116328, 17360613150089757264, 12563298867585483869, 365551581987890839, 17700748796336069217, 7810532723852235501, 10505955054637148879, 12855033270885330246, 13312730058220794788, 4542456715256670878, 8894104473073635359, 9202208471799252646, 14113140509561630716, 6541689012897586169, 18380102993381632613, 13500644145600515813, 17888294856934812325, 8042199561007729446]
encrypt first : state = [18160807224081752599, 14068525938510774781, 9117528410557204390, 15965913869845482066, 3561421027440227266, 11702823143761214843, 6073637745690837483, 17915251639671257976, 964337676777629247, 5196139335214565782, 994512453438439581, 10813200594092139196, 14315446361841618145, 2137002611932138491, 2330902358976449958, 15547502575455001635, 6656687346005869937, 18287980767771565449, 498190107594772317, 15407518384207522289, 9402833991920567798, 923917703039284069, 15831662423846448668, 7066353141585338149, 5012809038613635249]
encrypt : last tag_state = [5491511745552226216, 6950097009419274905, 12026383242447363409, 7807827491768792873, 17146746393682830601, 4896891006671283812, 16295570220796551878, 7257524080874270127, 16184095011250273281, 10841316965818311542, 5325549086780610581, 4053572319050723506, 9491742649774062277, 2307258182999571061, 7269122965434367670, 17967754501599096324, 11762562963513091381, 3972576410190328535, 17665665059528522677, 3863789729199217363, 4841466229394313978, 8900965808056882644, 7538815328039844408, 13866330838685651895, 10586749847098793437]
encrypt first : state = [18160807224081752599, 14068525938510774781, 9117528410557204390, 15965913869845482066, 3561421027440227266, 11702823143761214843, 6073637745690837483, 17915251639671257976, 964337676777629247, 5196139335214565782, 994512453438439581, 10813200594092139196, 14315446361841618145, 2137002611932138491, 2330902358976449958, 15547502575455001635, 6656687346005869937, 18287980767771565449, 498190107594772317, 15407518384207522289, 9402833991920567798, 923917703039284069, 15831662423846448668, 7066353141585338149, 5012809038613635249]
encrypt : last tag_state = [3046789350682933204, 15288705789295452779, 1635181423628793227, 10973586306453484328, 5261633615299087566, 2412112347394383111, 13859087021535316336, 14592476530606116328, 17360613150089757264, 12563298867585483869, 365551581987890839, 17700748796336069217, 7810532723852235501, 10505955054637148879, 12855033270885330246, 13312730058220794788, 4542456715256670878, 8894104473073635359, 9202208471799252646, 14113140509561630716, 6541689012897586169, 18380102993381632613, 13500644145600515813, 17888294856934812325, 8042199561007729446]
encrypt first : state = [6832015539786954662, 5634414227034426889, 3439893086796016159, 10675384270822476221, 4417168649925658816, 11994587660945710276, 3367743039343561133, 850243444890450723, 431213066081096519, 5411129903786695614, 18182755826147647006, 8273638484718099946, 3381093793785121843, 12441894906066270095, 12429931604716382785, 15320524651614831477, 12823875205665643061, 5959268016831716626, 2181446973920562073, 1157553140819901806, 4727760898264352030, 16236615721221096961, 13305463083643207143, 15056020025018138922, 7980980169143925337]
encrypt : last tag_state = [18017861014497113068, 15382061641459188030, 96657315485590480, 2197100309287899322, 10898666169658481083, 12286352731102512279, 8879687282430998943, 2001665991070030911, 562986099342198290, 18019318463098725060, 4382211973866833162, 1177722625277092619, 654566178664601902, 11685243480891306259, 13672963322251806956, 6975237341556057550, 8767762430540888211, 12625780964740131089, 16606455714538338484, 9736898949419605908, 7334739461870082190, 18436021531997116062, 14023213022521442951, 14034022288797693921, 9260534571784607165]
decrppt first state  = [6832015539786954662, 5634414227034426889, 3439893086796016159, 10675384270822476221, 4417168649925658816, 11994587660945710276, 3367743039343561133, 850243444890450723, 431213066081096519, 5411129903786695614, 18182755826147647006, 8273638484718099946, 3381093793785121843, 12441894906066270095, 12429931604716382785, 15320524651614831477, 12823875205665643061, 5959268016831716626, 2181446973920562073, 1157553140819901806, 4727760898264352030, 16236615721221096961, 13305463083643207143, 15056020025018138922, 7980980169143925337]
decrypt : last tag_state = [18017861014497113068, 15382061641459188030, 96657315485590480, 2197100309287899322, 10898666169658481083, 12286352731102512279, 8879687282430998943, 2001665991070030911, 562986099342198290, 18019318463098725060, 4382211973866833162, 1177722625277092619, 654566178664601902, 11685243480891306259, 13672963322251806956, 6975237341556057550, 8767762430540888211, 12625780964740131089, 16606455714538338484, 9736898949419605908, 7334739461870082190, 18436021531997116062, 14023213022521442951, 14034022288797693921, 9260534571784607165]
encrypt first : state = [6429169747648426712, 13560176256738828085, 3539737199880981637, 2358821024132322480, 7689010130980799775, 15178464077815862621, 17140573013917343418, 1125910673307038609, 4665218967901244143, 12060508627140628210, 6803717776592427362, 6281208214966019019, 3751021399793075613, 4191633653795175799, 4011286636378676159, 1568405071708990743, 15643382875550802547, 7513450993764333263, 3673988847802437449, 13069756601688656451, 9176361016537610133, 6586886677723420105, 16988468364057915914, 2890331125548290709, 14137836152635243547]
encrypt : last tag_state = [6429169747648426712, 13560176256738828085, 3539737199880981637, 2358821024132322480, 7689010130980799775, 15178464077815862621, 17140573013917343418, 1125910673307038609, 4665218967901244143, 12060508627140628210, 6803717776592427362, 6281208214966019019, 3751021399793075613, 4191633653795175799, 4011286636378676159, 1568405071708990743, 15643382875550802547, 7513450993764333263, 3673988847802437449, 13069756601688656451, 9176361016537610133, 6586886677723420105, 16988468364057915914, 2890331125548290709, 14137836152635243547]
decrppt first state  = [6429169747648426712, 13560176256738828085, 3539737199880981637, 2358821024132322480, 7689010130980799775, 15178464077815862621, 17140573013917343418, 1125910673307038609, 4665218967901244143, 12060508627140628210, 6803717776592427362, 6281208214966019019, 3751021399793075613, 4191633653795175799, 4011286636378676159, 1568405071708990743, 15643382875550802547, 7513450993764333263, 3673988847802437449, 13069756601688656451, 9176361016537610133, 6586886677723420105, 16988468364057915914, 2890331125548290709, 14137836152635243547]
decrypt : last tag_state = [6429169747648426712, 13560176256738828085, 3539737199880981637, 2358821024132322480, 7689010130980799775, 15178464077815862621, 17140573013917343418, 1125910673307038609, 4665218967901244143, 12060508627140628210, 6803717776592427362, 6281208214966019019, 3751021399793075613, 4191633653795175799, 4011286636378676159, 1568405071708990743, 15643382875550802547, 7513450993764333263, 3673988847802437449, 13069756601688656451, 9176361016537610133, 6586886677723420105, 16988468364057915914, 2890331125548290709, 14137836152635243547]
